time,alb_KPC_L,lat_KPC_L,lon_KPC_L,cloud_KPC_L
2019-08-18,0.2769,79.910845,-24.081763,0.2726
2019-08-19,0.3157,79.910845,-24.081761,0.2921
2019-08-20,0.3333,79.910846,-24.081768,0.0191
2019-08-21,0.3427,79.910845,-24.081766,0.0851
2019-08-22,0.3407,79.910845,-24.08176,0.0425
2019-08-23,0.3393,79.910845,-24.081762,0.0171
2019-08-24,0.3474,79.910843,-24.081763,0.0002
2019-08-25,0.3519,79.910845,-24.081766,0.0093
2019-08-26,0.5219,79.910844,-24.08176,0.5771
2019-08-27,0.5872,79.910845,-24.081766,0.9284
2020-05-01,0.4533,79.910844,-24.081605,0.0
2020-05-02,0.4554,79.910846,-24.081602,0.0058
2020-05-03,0.4515,79.910844,-24.081591,0.0689
2020-05-04,0.4734,79.910844,-24.081595,0.5051
2020-05-05,0.4733,79.910845,-24.081592,0.2829
2020-05-06,0.4719,79.910845,-24.081588,0.3114
2020-05-07,0.4795,79.910843,-24.081598,0.3954
2020-05-08,0.5042,79.910843,-24.08159,0.4658
2020-05-09,0.4811,79.910844,-24.08159,0.1313
2020-05-10,0.5042,79.910846,-24.081588,0.38
2020-05-11,0.4776,79.910845,-24.08159,0.097
2020-05-12,0.5204,79.910844,-24.081591,0.5071
2020-05-13,0.5074,79.910843,-24.081591,0.6466
2020-05-14,0.5261,79.910842,-24.081589,0.4014
2020-05-15,0.5313,79.910845,-24.081591,0.7351
2020-05-16,0.5138,79.910845,-24.081593,0.4578
2020-05-17,0.5269,79.910846,-24.081591,0.6865
2020-05-18,0.5026,79.910844,-24.081586,0.4392
2020-05-19,0.573,79.910845,-24.08159,0.8344
2020-05-20,0.545,79.910845,-24.081596,0.7187
2020-05-21,0.5082,79.910844,-24.081591,0.3109
2020-05-22,0.5363,79.910843,-24.081587,0.7603
2020-05-23,0.5028,79.910843,-24.081584,0.2458
2020-05-24,0.5438,79.910844,-24.081582,0.7112
2020-05-25,0.5955,79.910843,-24.081586,0.9661
2020-05-26,0.6035,79.910845,-24.08158,0.911
2020-05-27,0.5762,79.910842,-24.081582,0.7139
2020-05-28,0.5641,79.910844,-24.081584,0.5365
2020-05-29,0.56,79.910845,-24.081581,0.2765
2020-05-30,0.5574,79.910843,-24.081584,0.4868
2020-05-31,0.5839,79.910844,-24.081584,0.7644
2020-06-01,0.5998,79.910844,-24.081583,0.8532
2020-06-02,0.5674,79.910846,-24.08158,0.4367
2020-06-03,0.525,79.910844,-24.081582,0.1007
2020-06-04,0.547,79.910843,-24.081579,0.5036
2020-06-05,0.5438,79.910843,-24.081575,0.3632
2020-06-06,0.5222,79.910844,-24.081565,0.0679
2020-06-07,0.5109,79.910844,-24.081569,0.3974
2020-06-08,0.521,79.910845,-24.081577,0.4387
2020-06-09,0.5174,79.910844,-24.081579,0.4785
2020-06-10,0.4882,79.910846,-24.081573,0.0536
2020-06-11,0.4414,79.910845,-24.081573,0.1529
2020-06-12,0.6012,79.910841,-24.081557,0.929
2020-06-13,0.4902,79.910844,-24.081564,0.7965
2020-06-14,0.4216,79.910845,-24.081574,0.4845
2020-06-15,0.373,79.910845,-24.081568,0.1899
2020-06-16,0.3529,79.910847,-24.08157,0.2988
2020-06-17,0.369,79.910844,-24.081571,0.292
2020-06-18,0.3702,79.910846,-24.081566,0.0
2020-06-19,0.359,79.910845,-24.08157,0.0
2020-06-20,0.3111,79.910845,-24.081568,0.0004
2020-06-21,0.306,79.910845,-24.081569,0.0
2020-06-22,0.3181,79.910846,-24.081562,0.236
